datetime_utc,datetime_et,session,open,high,low,close,volume
2026-07-17 04:00,2026-07-17 00:00,OVN,521.01,521.01,520.99,520.99,307
2026-07-17 04:01,2026-07-17 00:01,OVN,521.00,521.22,520.15,520.15,606
2026-07-17 04:02,2026-07-17 00:02,OVN,520.11,520.32,519.80,519.80,467
2026-07-17 04:03,2026-07-17 00:03,OVN,519.83,520.00,519.75,519.77,454
2026-07-17 04:04,2026-07-17 00:04,OVN,519.78,520.49,519.77,519.77,73
2026-07-17 04:05,2026-07-17 00:05,OVN,520.00,520.00,519.77,519.77,11
2026-07-17 04:06,2026-07-17 00:06,OVN,519.78,520.47,519.65,519.65,154
2026-07-17 04:07,2026-07-17 00:07,OVN,519.65,519.65,519.00,519.01,709
2026-07-17 04:08,2026-07-17 00:08,OVN,519.11,519.75,519.11,519.74,232
2026-07-17 04:09,2026-07-17 00:09,OVN,519.73,519.73,519.03,519.03,95
2026-07-17 04:10,2026-07-17 00:10,OVN,519.03,519.03,518.66,518.67,67
2026-07-17 04:11,2026-07-17 00:11,OVN,519.55,519.55,519.00,519.54,363
2026-07-17 04:12,2026-07-17 00:12,OVN,519.03,519.03,519.00,519.02,222
2026-07-17 04:13,2026-07-17 00:13,OVN,519.23,519.23,518.99,519.00,499
2026-07-17 04:14,2026-07-17 00:14,OVN,518.95,519.52,518.53,518.53,2132
2026-07-17 04:15,2026-07-17 00:15,OVN,518.51,518.51,518.20,518.20,426
2026-07-17 04:16,2026-07-17 00:16,OVN,519.31,519.31,518.10,518.98,142
2026-07-17 04:17,2026-07-17 00:17,OVN,518.99,519.20,518.99,519.09,142
2026-07-17 04:18,2026-07-17 00:18,OVN,518.50,518.57,518.50,518.57,168
2026-07-17 04:19,2026-07-17 00:19,OVN,518.50,518.50,518.07,518.07,286
2026-07-17 04:20,2026-07-17 00:20,OVN,518.20,518.31,518.20,518.31,6
2026-07-17 04:21,2026-07-17 00:21,OVN,518.31,518.32,518.20,518.20,14
2026-07-17 04:22,2026-07-17 00:22,OVN,518.11,518.11,518.00,518.00,385
2026-07-17 04:23,2026-07-17 00:23,OVN,517.82,518.00,517.75,518.00,131
2026-07-17 04:24,2026-07-17 00:24,OVN,517.75,517.75,517.1,517.4,797
2026-07-17 04:25,2026-07-17 00:25,OVN,517.4,517.4,517.03,517.03,4
2026-07-17 04:26,2026-07-17 00:26,OVN,517.03,517.4,517.03,517.04,236
2026-07-17 04:27,2026-07-17 00:27,OVN,517.03,517.03,516.51,516.56,782
2026-07-17 04:28,2026-07-17 00:28,OVN,516.5,516.75,516.29,516.75,558
2026-07-17 04:29,2026-07-17 00:29,OVN,516.75,516.75,516.19,516.19,490
2026-07-17 04:30,2026-07-17 00:30,OVN,516.06,516.26,515.9,516.19,731
2026-07-17 04:31,2026-07-17 00:31,OVN,515.99,516.4,515.75,516.02,425
